2023-11-27 16:09:08.9208 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Search | Attempting to get text in element with locator: By.CssSelector: input#search
2023-11-27 16:09:09.0175 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | EnterText | Attempting to find element with locator: By.CssSelector: input#search
2023-11-27 16:09:09.3015 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Search | Attempting to click in element with locator: By.Id: search-icon-legacy
2023-11-27 16:09:09.3015 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.Id: search-icon-legacy
2023-11-27 16:09:09.5103 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | OpenFilter | Attempting to click in element with locator: By.CssSelector: #filter-button
2023-11-27 16:09:09.5103 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.CssSelector: #filter-button
2023-11-27 16:09:11.0315 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | ApplyFilter | Attempting to find elements with locator: By.CssSelector: #options>ytd-search-filter-group-renderer
2023-11-27 16:09:11.1860 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | OpenFilter | Attempting to click in element with locator: By.CssSelector: #filter-button
2023-11-27 16:09:11.1860 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.CssSelector: #filter-button
2023-11-27 16:09:11.3191 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | ApplyFilter | Attempting to find elements with locator: By.CssSelector: #options>ytd-search-filter-group-renderer
2023-11-27 16:09:11.5421 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SelectVideoFromResultsByTitle | Attempting to find elements with locator: By.CssSelector: div>ytd-video-renderer
2023-11-27 16:09:11.5705 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SelectVideoFromResultsByTitle | Attempting to find element Element (id = 899005F3B6C8B4409923FF9A2457CFFB_element_9527) in element with locator: By.CssSelector: #title-wrapper #video-title
2023-11-27 16:09:11.6004 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SearchAndPlayVideoWithFiltersAndHandleAds | titleElement: I Will Survive - Alien Song
2023-11-27 16:09:11.6172 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetChannelName | Attempting to find element Element (id = 899005F3B6C8B4409923FF9A2457CFFB_element_9527) in element with locator: By.CssSelector: ytd-channel-name#channel-name
2023-11-27 16:09:11.6327 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetChannelName | Attempting to get text from an element
2023-11-27 16:09:11.6474 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetChannelName | Element text: nikki7993nikki7993
2023-11-27 16:09:11.6474 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SearchAndPlayVideoWithFiltersAndHandleAds | channelNameElement:nikki7993nikki7993
2023-11-27 16:09:11.7313 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to find element with locator: By.CssSelector: span.ytp-ad-preview-container
2023-11-27 16:09:13.6518 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to get text from an element
2023-11-27 16:09:13.6688 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Element text: 5
