2023-11-27 15:22:20.2053 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Search | Attempting to get text in element with locator: By.CssSelector: input#search
2023-11-27 15:22:20.2244 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | EnterText | Attempting to find element with locator: By.CssSelector: input#search
2023-11-27 15:22:20.4440 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Search | Attempting to click in element with locator: By.Id: search-icon-legacy
2023-11-27 15:22:20.4440 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.Id: search-icon-legacy
2023-11-27 15:22:20.6260 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | OpenFilter | Attempting to click in element with locator: By.CssSelector: #filter-button
2023-11-27 15:22:20.6260 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.CssSelector: #filter-button
2023-11-27 15:22:22.6891 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | ApplyFilter | Attempting to find elements with locator: By.CssSelector: #options>ytd-search-filter-group-renderer
2023-11-27 15:22:22.8731 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | OpenFilter | Attempting to click in element with locator: By.CssSelector: #filter-button
2023-11-27 15:22:22.8731 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.CssSelector: #filter-button
2023-11-27 15:22:23.0290 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | ApplyFilter | Attempting to find elements with locator: By.CssSelector: #options>ytd-search-filter-group-renderer
2023-11-27 15:22:23.2596 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SelectVideoFromResultsByTitle | Attempting to find elements with locator: By.CssSelector: div>ytd-video-renderer
2023-11-27 15:22:23.3393 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SelectVideoFromResultsByTitle | Attempting to find element Element (id = 3701110D3CC2B3C26DC589BC87B711A1_element_9142) in element with locator: By.CssSelector: #title-wrapper #video-title
2023-11-27 15:22:23.4684 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SearchAndPlayVideoWithFiltersAndHandleAds | titleElement: I Will Survive - Alien Song
2023-11-27 15:22:23.6137 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetChannelName | Attempting to find element Element (id = 3701110D3CC2B3C26DC589BC87B711A1_element_9142) in element with locator: By.CssSelector: ytd-channel-name#channel-name
2023-11-27 15:22:23.9174 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetChannelName | Attempting to get text from an element
2023-11-27 15:22:23.9410 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetChannelName | Element text: GloriaGaynorGloriaGaynor
2023-11-27 15:22:23.9410 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SearchAndPlayVideoWithFiltersAndHandleAds | channelNameElement:GloriaGaynorGloriaGaynor
2023-11-27 15:22:24.0241 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to find element with locator: By.CssSelector: span.ytp-ad-preview-container
2023-11-27 15:22:26.8277 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to get text from an element
2023-11-27 15:22:26.9068 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Element text: 5
2023-11-27 15:22:26.9068 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to wait for element to disappear with locator: By.CssSelector: span.ytp-ad-preview-container
2023-11-27 15:22:31.3904 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to find element with locator: By.CssSelector: button.ytp-ad-skip-button-modern
2023-11-27 15:22:31.4306 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | SkipAdIfExists | Attempting to click in element
2023-11-27 15:22:31.6308 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | ExpandVideoDescription | Attempting to click in element with locator: By.CssSelector: tp-yt-paper-button#expand
2023-11-27 15:22:31.6308 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | Click | Attempting to find element with locator: By.CssSelector: tp-yt-paper-button#expand
2023-11-27 15:22:31.9752 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetArtistsNameFromVideoDescription | Attempting to get text form an element
2023-11-27 15:22:31.9752 | INFO | TibaEvaluationExercise.Utilities.Logger | SearchAndPlayVideoWithFiltersAndHandleAds | GetText | Attempting to find element with locator: By.CssSelector: div.yt-video-attribute-view-model__metadata>.yt-video-attribute-view-model__subtitle
